Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
27,SIA/TR/MIN/429370/2023,,"M/s Janani Bricks, Block ID: UMT/WT/BR-029",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
28,SIA/TR/MIN/429392/2023,,"M/s Dinabandhu Bricks Industry, Block ID: UMT/WT/BR-36",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
29,SIA/TR/MIN/247795/2021,F.8(25)/TSPCB/SEIAA/2022/SM-334,SAND MINE OF M/S GOMATI SAND & CARRING,SAND MINE OF M/S GOMATI SAND & CARRING,Awaiting EC,EC,
30,SIA/TR/MIN/248442/2021,,Sand Mining of M/s Roy Sand,M/S ROY SAND,Delisted,EC,
31,SIA/TR/MIN/289094/2022,F.8(25)/TSPCB/SEIAA/2022/SM-326,Sand mine of MS NCR Sand,SAND MINE OF M/S NCR SAND,EC Granted,EC,
32,SIA/TR/MIN/283294/2022,F.8(25)/SEIAA/2022/SM-11,Choudhury sand,SUHAEL CHOUDHURY,EC Granted,EC,
33,SIA/TR/MIN/412973/2023,,M/S Sunny Bricks Industries,BRICK EARTH MINE OF M/S SUNNY BRICKS INDUSTRIES,Request for withdraw,EC,
34,SIA/TR/MIN/273501/2022,F.8(25)/SEIAA/2022/SM-01,SAND MINE OF MS TAPAN SAND,TAPAN DAS,EC Granted,EC,
35,SIA/TR/MIN/423196/2023,,"M/s Pinkesh Sand, Block ID: UMT/UN-006",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
36,SIA/TR/MIN/283558/2022,F.8(25)/SEIAA/2022/SM-12,sand mining of 3 in 1 sand,AMINUL HAQUE,EC Granted,EC,
37,SIA/TR/MIN/282964/2022,F.8(25)/SEIAA/2022/SM-10,CHANTAIL SAND BLOCK MINE,BISWAJIT SINHA,EC Granted,EC,
38,SIA/TR/MIN/284954/2022,F.8(25)/SEIAA/2022/BF-04,KALIMATA BRICKS INDUSTRIES,PRADIP DAS,EC Granted,EC,
39,SIA/TR/INFRA2/402696/2022,F.8(25)/TSPCB/SEAC/2022/MALL,"M/s. PRM Tirupati Pvt. Ltd., proposed to construct “Center Point Mall”",PRM TIRUPATI PRIVATE LIMITED,For further consideration(SEAC),EC,
40,SIA/TR/MIN/426754/2023,,"M/s Sujan Sarkar Sand Block,  Block ID: UD/SAND/ST/SG-002",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
41,SIA/TR/IND2/431554/2023,,Drilling of Exploratory Location BRMAK,"ONGC, TRIPURA ASSET",Under examination of SEIAA,EC,
42,SIA/TR/MIN/432431/2023,,JOYDEB DAS SAND,SRI JOY DEB DAS SAND,Under examination of SEIAA,EC,
43,SIA/TR/MIN/416154/2023,,"M/s Manoranjan Das Sand,  Block ID: UMT/ST-08",MANORANJAN DAS,Under examination of SEIAA,EC,
44,SIA/TR/MIN/433749/2023,,M/s Pratima Sand,BARUN KAR,Under examination of SEIAA,EC,
45,SIA/TR/MIN/434299/2023,,Sand mining of M/s GOMATI SAND,JIBAN ROY,Under examination of SEIAA,EC,
51,SIA/TR/MIN/287846/2022,,"M/s Nirmal Das Sand Block, Block ID: UMT/UN-005",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
52,SIA/TR/IND2/238402/2021,F.8(25)/SEIAA/2022/ONGC/BMSU,Drilling of Exploratory location BMSU,"ONGC, TRIPURA ASSET",Awaiting EC,EC,
53,SIA/TR/MIN/400312/2022,F.8(25)/TSPCB/SEIAA/2022/SM-333,"M/s Bharat Nirman Infrastructure, Block ID: UMT/ST-004",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
54,SIA/TR/MIN/400913/2022,No. F.8(25)/TSPCB/SEIAA/2022/SM-332,SAND MINING OF LAXMI SAND,AMAR DEBBARMA,EC Granted,EC,
55,SIA/TR/MIN/401416/2022,F.8(25)/TSPCB/SEIAA/2022/BF-296,"M/s New Ramthakur Industry, Jirania R.D Block,  Block ID: UMT/WT/BR-024",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Site Visit by SEAC(Pending),EC,
