,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
611,SIA/CG/MIN/416899/2023,OL/EC/MIN/BEMETARA/2324,Bargaon Brick Eirth Clay Quarry,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Mar 2023 ,Non-Coal Mining,FALESH SAHU,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/416899/2023&pid=217174
612,SIA/CG/MIN/441372/2023,OL/EC/MIN/RAIGARH/2647,M/s Saurya Minerals Pvt.Ltd	,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 22 Aug 2023 ,Non-Coal Mining, SHOURYA MINERALS PRIVATE LIMITED,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/441372/2023&pid=224316
613,SIA/CG/MIN/50150/2016,,MAHUAPALI DOLOMITE DEPOSIT,Chhattisgarh,Raigarh,Raigarh,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2016 ,Non-Coal Mining,PILABABU PATEL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/50150/2016&pid=14011
614,SIA/CG/MIN/72320/2018,OL/EC/MIN/RAIPUR/671,"Akhilesh Kumar Singh
Lalpur Limestone mine",Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 30 Aug 2018 ,Date of Ec Granted : 15 Feb 2019,Non-Coal Mining,AKHILESH KUMAR SINGH,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/72320/2018&pid=42050
615,SIA/CG/IND/21680/2015,OL/EC/IND/RAIGARH/713,CHANDRAHASNI ISPAT PRIVATE LIMITED (BILLETS AND TMT DIVISION),Chhattisgarh,Raigarh,Raigarh,Date of Submission for EC: 30 Jul 2018 ,Date of Ec Granted : 04 Dec 2018,Industrial Projects - 1,CHANDRAHASNI ISPAT PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND/21680/2015&pid=42061
616,SIA/CG/MIN/64051/2017,,"Mohini Devi Mishra 4.55 Hectare  
Nandini Khundini Limestone Mine",Chhattisgarh,Durg,Dhamdha,Date of Submission for TOR: ,Date of Submission for EC: 05 May 2017 ,Non-Coal Mining,MOHINI DEVI MISHRA,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/64051/2017&pid=35011
617,SIA/CG/MIN/128109/2019,OL/EC/MIN/JAGDALPUR/1036,Kalcha Sand Mine,Chhattisgarh,Bastar,Jagdalpur,Date of Submission for EC: 07 Dec 2019 ,Date of Ec Granted : 25 Feb 2020,Non-Coal Mining,KALCHA SAND MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/128109/2019&pid=77563
618,SIA/CG/MIN/33901/2015,OL/EC/SANDMINE/JANJGIRCHAMPA/204,Bhoghapara sand project,Chhattisgarh,Janjgir - Champa,Nawagarh,Date of Submission for EC: 05 Dec 2015 ,Date of Ec Granted : 18 Mar 2016,Non-Coal Mining,BHOGHAPARA SAND PROJECT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/33901/2015&pid=3253
619,SIA/CG/MIN/251386/2022,,DHANSULI LIMESTONE QUARRY (VASUDEV PRITWANI),Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 07 May 2022 ,Non-Coal Mining,VASUDEV PRITWANI,Request for withdraw,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/251386/2022&pid=197831
620,SIA/CG/MIN/285660/2022,OL/EC/MIN/KABIRDHAM/2113,Manpur Dolomite stone ( Low grade ) Quarry Mine of Bhaskar Kumar Singh,Chhattisgarh,Kabirdham,kawardha,Date of Submission for EC: 27 Jul 2022 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,MANPUR DOLOMITE STONE (LOWGRADE) QUARRY MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/285660/2022&pid=209422
621,SIA/CG/MIN/446020/2023,OL/EC/MIN/MAHASAMUND/2818,Kilepar Sand Mine,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Oct 2023 ,Non-Coal Mining,DUSHYANT MANDAVI,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/446020/2023&pid=226244
622,SIA/CG/MIN/33732/2015,OL/EC/LIMESTONE/RAIPUR/190,Ms Nardaha Limestone Quarry ,Chhattisgarh,Raipur,Arang,Date of Submission for EC: 03 Dec 2015 ,Date of Ec Granted : 29 Jul 2016,Non-Coal Mining,MS NARDAHA LIMESTONE QUARRY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/33732/2015&pid=3085
623,SIA/CG/MIN/50826/2016,,Flag Stone quarry Village Achholi,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2016 ,Non-Coal Mining,SHRI KUSHAL SAHU,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/50826/2016&pid=14607
624,SIA/CG/MIN/42016/2016,OL/EC/LIMESTONE_quarry/RAJNANDGAON/326,Chaveli Lime Stone Quarry,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for TOR: ,Date of Submission for EC: 22 Jan 2016 ,Non-Coal Mining,SHASHI KALA GUPTA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42016/2016&pid=10773
625,SIA/CG/MIN/406306/2022,OL/TOR/MIN/BALODABAZAR/2190,"M/s Mahamaya Udypg, Pro. Mahesh Sharma, Paseed Limestone Quarry",Chhattisgarh,Balodabazar,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining,ASHUTOSH SANYASHI MINING CONSULTANCY,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/406306/2022&pid=212554
626,SIA/CG/MIN/431989/2023,OL/EC/MIN/JANJGIR_CHAMPA/2521,Raj Kumar Agrawal,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Jun 2023 ,Non-Coal Mining,RAJKUMAR AGRAWAL,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/431989/2023&pid=221562
627,SIA/CG/IND2/42228/2016,OL/EC/LPG_BOTTELING/RAIPUR/328,BHARAT PETROLEUM CORPORATION LIMITED LPG BOTTLING PLANT,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 25 Jan 2016 ,Date of Ec Granted : 02 Apr 2016,Industrial Projects - 2,BHARAT PETROLEUM CORPORATION LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND2/42228/2016&pid=10984
628,SIA/CG/MIN/230768/2021,,Hastinapur Ordinary Stone Quarry,Chhattisgarh,Koriya,Manendragarh,Date of Submission for TOR: ,Date of Submission for EC: 25 Sep 2021 ,Non-Coal Mining,HASTINAPUR ORDINARY STONE QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/230768/2021&pid=191469
629,SIA/CG/MIN/135761/2020,OL/EC/SAND_MINE/BASTAR/1108,Tikanpal Sand Mine,Chhattisgarh,Bastar,Jagdalpur,Date of Submission for EC: 08 Jan 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,TIKANPAL SAND MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/135761/2020&pid=84440
630,SIA/CG/MIN/50236/2016,OL/EC/SANDMINE/RAJNANDGAON/402,Salhe Sand Mine,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 23 Feb 2016 ,Date of Ec Granted : 05 Jul 2016,Non-Coal Mining,SARPANCH SALHE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/50236/2016&pid=14095
631,SIA/CG/MIN/36526/2019,,LIMESTONE QUARRY MINE NARDAHA,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 21 May 2019 ,Non-Coal Mining,INDER KUMAR ATHWANI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/36526/2019&pid=55843
632,SIA/CG/MIN/41996/2016,OL/EC/SANDMINE/rajnandgaon/324,khujji sand mine,Chhattisgarh,Rajnandgaon,Dongargaon,Date of Submission for EC: 22 Jan 2016 ,Date of Ec Granted : 26 May 2016,Non-Coal Mining,SARPANCH KHUJJI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/41996/2016&pid=10757
633,SIA/CG/MIN/226610/2021,OL/EC/MIN/KORBA/1778,Konkona Ordinary Stone Temporary Permit Quarry  (6)	 of Dilip Buildcon Limited,Chhattisgarh,Korba,Poundi Uproda,Date of Submission for EC: 27 Aug 2021 ,Date of Ec Granted : 28 Sep 2021,Non-Coal Mining,KONKONA ORDINARY STONE TEMPORARY PERMIT QUARRY (6) OF DILIP BUILDCON LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/226610/2021&pid=190547
634,SIA/CG/MIN/42455/2019,OL/EC/MIN/RAJNANDGAON/964,Naresh Lal Talreja,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 11 Jan 2020 ,Date of Ec Granted : 27 May 2020,Non-Coal Mining,NARESH LAL TAREJA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42455/2019&pid=63291
635,SIA/CG/MIN/55594/2016,OL/EC/SANDMINE/KANKER/466,Haradula Sand Mine,Chhattisgarh,Kanker,Charama,Date of Submission for EC: 06 Jun 2016 ,Date of Ec Granted : 15 Sep 2016,Non-Coal Mining,SARAPANCH HARADULA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/55594/2016&pid=21805
636,SIA/CG/MIN/36710/2019,,DHELSARA SAND MINE,Chhattisgarh,Surguja,Sitapur,Date of Submission for TOR: ,Date of Submission for EC: 24 May 2019 ,Non-Coal Mining,GRAM PANCHAYAT DHELSARA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/36710/2019&pid=55941
637,SIA/CG/MIN/58981/2016,,kumhariC sand mine,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 13 Sep 2016 ,Non-Coal Mining,SARPANCH KUMHARIC,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/58981/2016&pid=27577
638,SIA/CG/MIN/220377/2021,OL/EC/MIN/RAIGARH/1734,tayang Sand Mine,,,,Date of Submission for EC: 16 Jul 2021 ,Date of Ec Granted : 24 Nov 2023,Non-Coal Mining,TAYANG SAND MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/220377/2021&pid=189302
639,SIA/CG/MIN/156078/2020,OL/EC/MIN/RAJNANDGAON/1317,Vaibhav Golchha,Chhattisgarh,Rajnandgaon,Manpur,Date of Submission for EC: 24 Jun 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,VAIBHAV GOLCHHA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/156078/2020&pid=111561
640,SIA/CG/MIN/425029/2023,OL/EC/MIN/JASHPUR/2375,M/s. Dilip Buildcon Limited-Turuama Ordinary Stone Temporary Permit Quarry (3)																		,Chhattisgarh,,,Date of Submission for EC: 06 Apr 2023 ,Date of Ec Granted : 28 Jul 2023,Non-Coal Mining, DILIP BUILDCON LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/425029/2023&pid=218457
641,SIA/CG/MIN/425217/2023,OL/EC/MIN/SURGUJA/2381,M/s. Changori Lime Stone Mine  (Pro. - Shri Aditya Bhagat),Chhattisgarh,,,Date of Submission for EC: 11 Apr 2023 ,Date of Ec Granted : 04 Mar 2024,Non-Coal Mining,ADITYA BHAGAT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/425217/2023&pid=218673
642,SIA/CG/MIN/446776/2023,OL/EC/MIN/RAIPUR/1800,M/s. Bansal Stone,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 05 Oct 2023 ,Non-Coal Mining,PUSHPA AGRWAL,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/446776/2023&pid=226363
643,SIA/CG/MIN/446595/2023,OL/EC/MIN/JANJGIR_CHAMPA/1854,Gurushree Minerals Pvt. Ltd,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 05 Oct 2023 ,Non-Coal Mining, GURUSHREE MINERALS PRIVATE LIMITED,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/446595/2023&pid=226364
644,SIA/CG/MIN/37394/2019,OL/EC/SANDMINE/DHAMTARI/898,rajpur sand mine,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for TOR: ,Date of Submission for EC: 06 Jun 2019 ,Non-Coal Mining,GRAM PANCHAYAT RAJPUR SAND MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/37394/2019&pid=56421
645,SIA/CG/MIN/227197/2021,,Nardaha Limestone Mine,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 01 Sep 2021 ,Non-Coal Mining,NARDAHA LIMESTONE MINE  OF PRAKASH BAJAJ,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/227197/2021&pid=190693
646,SIA/CG/MIN/447010/2023,OL/EC/MIN/BILASPUR/2685,LALWANI BRICK EARTH QUARRY ,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Oct 2023 ,Non-Coal Mining,SUNIL LALWANI,Rejected by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/447010/2023&pid=226428
647,SIA/CG/MIN/48990/2016,,Ghatadwari Stone Mine,Chhattisgarh,Korba,Kartala,Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2016 ,Non-Coal Mining,MATADIN JAISWAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/48990/2016&pid=12799
648,SIA/CG/MIN/40601/2019,,Pratapgarh Sand Mining Project,Chhattisgarh,Surguja,Sitapur,Date of Submission for TOR: ,Date of Submission for EC: 03 Aug 2019 ,Non-Coal Mining,GRAM PANCHAYAT PRATAPGARH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/40601/2019&pid=59136
649,SIA/CG/MIN/42395/2016,OL/EC/SANDMINE/DHAMTARI/340,Sarangpuri Sand Mine,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for EC: 27 Jan 2016 ,Date of Ec Granted : 26 Jul 2016,Non-Coal Mining,SARPANCH SARANGPURI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42395/2016&pid=11143
650,SIA/CG/MIN/35896/2019,,ordinary quarry,Chhattisgarh,Jashpur,Jashpur,Date of Submission for TOR: ,Date of Submission for EC: 09 May 2019 ,Non-Coal Mining,ORDINARY STONE,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/35896/2019&pid=55478
651,SIA/CG/MIN/45232/2019,OL/EC/STONE_MIN/GARIYABAND/980,Barbhata Flagstone Mine,Chhattisgarh,Gariaband,Rajim,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 03 Feb 2020,Non-Coal Mining,DAIMOND YADU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/45232/2019&pid=70052
652,SIA/CG/MIN/38080/2019,OL/EC/MIN/KANKER/911A,Stone Quarry Village Makdi Singray,Chhattisgarh,Kanker,Kanker,Date of Submission for EC: 14 Dec 2019 ,Date of Ec Granted : 23 May 2020,Non-Coal Mining,BHUPENDRA SINGH VISHWAKARMA,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/38080/2019&pid=56878
653,SIA/CG/MIN/41149/2016,OL/EC/LIMESTONE_MINE/JANJGIR-CHAMPA/314,Limestone quarry proponent MS Ravitej project pvt ltd,Chhattisgarh,Janjgir - Champa,Janjgir,Date of Submission for TOR: ,Date of Submission for EC: 16 Jan 2016 ,Non-Coal Mining,KIRARI LIME STONE QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/41149/2016&pid=9975
654,SIA/CG/MIN/67248/2017,OL/EC/LIME_STONE/DURG/625,Ruplela Brothers Limestone Mines,Chhattisgarh,Durg,Dhamdha,Date of Submission for TOR: ,Date of Submission for EC: 05 Aug 2017 ,Non-Coal Mining,RUPRELA BROTHERS,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/67248/2017&pid=37094
655,SIA/CG/MIN/270623/2022,OL/EC/MIN/JANJGIR_CHAMPA/2009,Hardi Ordinary Stone Mine of M/s. J.S. Infraworks Pvt. Ltd.,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for EC: 01 May 2022 ,Date of Ec Granted : 21 Oct 2022,Non-Coal Mining, JS INFRAWORKS PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/270623/2022&pid=202792
656,SIA/CG/MIN/416556/2023,OL/EC/MIN/MAHASAMUND/1583,"Proposed Achholi Flagstone Mining Project of Shri Relashwar Chandrakar, Shri Mohan Lal Sahu, Shri. Vishnu sahu and Shri Roshan Dewangan in Achholi Flagstone mining Cluster village, Achholi: TEHSIL & District Mahasamund of Chhattisgarh",Chhattisgarh,,,Date of Submission for EC: 09 Feb 2023 ,Date of Ec Granted : 07 Jul 2023,Non-Coal Mining,RALESHWARCHANDRAKAR S/O SHOBHRAMCHANDRAKAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/416556/2023&pid=216277
657,SIA/CG/MIN/415236/2023,OL/EC/MIN/MAHASAMUND/1595,Achholi Flagstone Mine Cluster Project,Chhattisgarh,,,Date of Submission for EC: 09 Feb 2023 ,Date of Ec Granted : 07 Jul 2023,Non-Coal Mining,SHRI MOHAN LAL SAHU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/415236/2023&pid=216280
658,SIA/CG/MIN/70899/2017,OL/EC/SAND_MINE/JANJGIR_CHAMPA/647,Khorsi Sand Mine,Chhattisgarh,Janjgir - Champa,Pamgarh,Date of Submission for TOR: ,Date of Submission for EC: 13 Nov 2017 ,Non-Coal Mining,KHORSI SAND MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/70899/2017&pid=39257
659,SIA/CG/MIN/180833/2020,OL/EC/MIN/BALRAMPUR/1457,Bhelaikhurd Limestone Mine of Mukesh Agrawal,Chhattisgarh,Balrampur,ramanujganj,Date of Submission for EC: 03 Nov 2020 ,Date of Ec Granted : 05 Feb 2021,Non-Coal Mining,BHELAIKHURD LIMESTONE MINE OF MUKESH AGRAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/180833/2020&pid=141223
660,SIA/CG/IND1/434455/2023,OL/EC/IND1/RAIPUR/2540,M/s. Satyam Steel,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Jun 2023 ,Industrial Projects - 1,GAUTAM PATEL,Rejected by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND1/434455/2023&pid=222056
661,SIA/CG/MIN/445331/2023,OL/EC/MIN/BALODA BAZAAR/2729,Binay Jaiswal,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Oct 2023 ,Non-Coal Mining,BINAY JAISWAL,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/445331/2023&pid=227432
662,SIA/CG/MIN/400731/2022,OL/EC/MIN/KORIYA/2156,Crusher Stone Quarry ,Chhattisgarh,Koriya,,Date of Submission for TOR: ,Date of Submission for EC: 21 Oct 2022 ,Non-Coal Mining,HARKESH TIWARI,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/400731/2022&pid=210879
663,SIA/CG/MIN/423972/2023,OL/EC/MIN/MAHASAMUND/2357,BIRAJPALI ORDINARY STONE QUARRY  ,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 31 Oct 2023 ,Non-Coal Mining,DANVEER SHARMA,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/423972/2023&pid=218261
664,SIA/CG/MIN/443493/2023,OL/EC/MIN/BASTAR/2050,Tikanpal Lime Stone Quarry,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Sep 2023 ,Non-Coal Mining,KARAN BHANUSALI,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/443493/2023&pid=224907
665,SIA/CG/MIN/33109/2015,,sarwani brick earth quarry Dhanraj ahuja niwasi kashyap colony bilaspur cg,Chhattisgarh,Bilaspur,Bilha,Date of Submission for TOR: ,Date of Submission for EC: 23 Nov 2015 ,Non-Coal Mining,SARWANI BRICK EARTH QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/33109/2015&pid=2584
666,SIA/CG/MIN/428141/2023,OL/EC/MIN/KORIYA/2403,"Chitajhor  Crusher stone Quarry , Area - 0.45 ha(1.11 Acre) , Shri Akshay Chaturvedi",Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 07 May 2023 ,Non-Coal Mining,AKSHAY CHATURVEDI,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/428141/2023&pid=219434
667,SIA/CG/MIN/449065/2023,OL/EC/MIN/BILASPUR/2703,ATARRA BRICK EARTH QUARRY,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Oct 2023 ,Non-Coal Mining,ARJUN BHAGTANI,Agenda Uploaded by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/449065/2023&pid=226943
668,SIA/CG/MIN/53842/2016,OL/EC/SANDMINE/KORIYA/456,dumariya sand quarry,Chhattisgarh,Koriya,Baikunthpur,Date of Submission for EC: 17 May 2016 ,Date of Ec Granted : 22 Jul 2016,Non-Coal Mining,DUMARIYA SAND,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/53842/2016&pid=20157
669,SIA/CG/MIN/35696/2019,,Kurud B,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 04 May 2019 ,Non-Coal Mining,GRAM PANCHAYAT KURUD JANPAD PANCHAYAT ARANG,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/35696/2019&pid=55375
670,SIA/CG/MIN/36672/2017,OL/EC/MIN/RAJNANDGAON/664,Quartzite & Silica sand quarry at Village Bihao bord,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 27 May 2019 ,Date of Ec Granted : 13 May 2020,Non-Coal Mining,GAUTAM CHAND DAKALIYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/36672/2017&pid=55909
671,SIA/CG/MIN/36797/2019,,Charama Sand Mine (CMO Nagar Panchayat),Chhattisgarh,Kanker,Charama,Date of Submission for TOR: ,Date of Submission for EC: 27 May 2019 ,Non-Coal Mining,NAGAR PANCHAYAT CHARAMA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/36797/2019&pid=55999
