,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
1006,SIA/CG/MIN/35834/2015,OL/EC/BRICKS/JASHPUR/245,VISHNU GUPTA BRICK EARTH MINE,Chhattisgarh,Jashpur,Jashpur,Date of Submission for EC: 24 Dec 2015 ,Date of Ec Granted : 15 Sep 2016,Non-Coal Mining,VISHNU PRASAD GUPTA BRICK EARTH MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/35834/2015&pid=4983
1007,SIA/CG/MIN/50372/2016,,UDELA QUARTZ QUARRY,Chhattisgarh,Mahasamund,Saraipali,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2016 ,Non-Coal Mining,UDELA QUAETZ QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/50372/2016&pid=14223
1008,SIA/CG/IND/220688/2021,OL/EC/IND/RAIPUR/1738,Shri Shyam Iron and Power Pvt. Ltd,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 19 Jul 2021 ,Date of Ec Granted : 20 Sep 2021,Industrial Projects - 1,SHRI SHYAM IRON AND POWER PVT. LTD,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND/220688/2021&pid=189368
1009,SIA/CG/MIN/36261/2015,OL/EC/sand_MINE/SUKMA/260,sand mine nagar palika sukma,Chhattisgarh,Sukma,No Data,Date of Submission for EC: 28 Dec 2015 ,Date of Ec Granted : 18 Apr 2016,Non-Coal Mining,NAGAR PALIKA SUKMA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/36261/2015&pid=5407
1010,SIA/CG/MIN/207672/2021,OL/EC/MIN/KORIYA/1632,DOBHAPANI ORDINARY STONE QUARRY,Chhattisgarh,Koriya,Baikunthpur,Date of Submission for EC: 02 Apr 2021 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,KORIYA  STONE QUARRY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/207672/2021&pid=175829
1011,SIA/CG/MIN/48114/2016,,Stone Quarry Village Milarabad,Chhattisgarh,Mahasamund,Basna,Date of Submission for TOR: ,Date of Submission for EC: 05 Feb 2016 ,Non-Coal Mining,SUNIL AGRAWAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/48114/2016&pid=11952
1012,SIA/CG/MIN/251289/2022,OL/EC/MIN/SURAJPUR/1912,Nayanpur Brick Earthclay Quarry & Brick Kiln o Jagmohan Prasad Agrawal,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 13 Jan 2022 ,Date of Ec Granted : 24 Aug 2022,Non-Coal Mining,NAYANPUR BRICK EARTHCLAY QUARRY & BRICK KILN OF  JAGMOHAN PRASAD AGRAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/251289/2022&pid=197801
1013,SIA/CG/MIN/428983/2023,OL/EC/MIN/BILASPUR/2416,Nilesh Chand Bhargav,Chhattisgarh,,,Date of Submission for EC: 11 May 2023 ,Date of Ec Granted : 04 Mar 2024,Non-Coal Mining,NILESH BHARGAV,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/428983/2023&pid=219614
1014,SIA/CG/MIN/420189/2023,OL/EC/MIN/MAHASAMUND/2322,Crusher Stone Quarry Village Paterapali Project Proponent Shri Siddheshwar Prakash Agrawal ,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Feb 2023 ,Non-Coal Mining,SIDHESHWAR AGRAWAL,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/420189/2023&pid=217052
1015,SIA/CG/MIN/430910/2023,OL/EC/MIN/MAHASAMUND/2488,Anita Agrawal,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 29 May 2023 ,Non-Coal Mining,ANITA AGRAWAL,Rejected by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/430910/2023&pid=220580
