Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
34,SIA/BR/MIN/30937/2015,SIA/1(a)/02/2015,STONE MINING PROJECT-NECL-B2,NAVAYUGA ENGINEERING COMPANY LTD,Delisted,EC,
37,SIA/BR/MIN/60868/2016,SIA/1(a)/398/16,Sand Mining Project at Hardi Chapra Ghat on river Ganga,BROADSON COMODITIES PVT LTD,EC Granted,EC,
39,SIA/BR/IND/26138/2018,,Kamper Concast ltd,KAMPER CONCAST LIMITED,EC Granted,EC,
40,SIA/BR/MIN/131092/2019,,"Dighaun M/S. N. P. S. INT UDYOG. With production capacity 5081.58 TPA  Mauza - Dighaun, Thana No.- 144, Khata no. 18 & 73. Plot no. 2385 & 29. Area, 2.70 Ac 1.09 ha P.S.- Beldaur, Circle - Beldaur, Di",M/S N.P.S. INT UDYOG PROP:-SARITA DEVI,Delisted,EC,
41,SIA/BR/MIN/66279/2017,,Sand Mining Project at Tetrahat Sand Ghat (Block No-12) on River Kiul,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
43,SIA/BR/MIN/30933/2019,SIA/1(a)/549/18,"Nagardar Sand ghat Mining Project of area 23.50 of District Lakhisarai , Bihar On Kiul River",WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
47,SIA/BR/MIN/41782/2019,,Proposed Sand Mining Project of area 4.20 ha at Mohanpur Ghat on Gandak River of District- Begusarai of State-Bihar,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,
48,SIA/BR/MIN/41879/2019,,Proposed Sand Mining Project of area 5.0 ha at Naokothi Ghat on  Gandak River of District- Begusarai of State- Bihar,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,
49,SIA/BR/IND/59209/2020,SIA/3(a)/1272/2020,M/s Tejas Iron & Steel Pvt. Ltd.,M/S TEJAS IRON & STEEL PVT. LTD.,Return to SEIAA(Violation),EC,
50,SIA/BR/MIN/146445/2020,,"Brick Earth Mining Project at Mauza- Shahpur, P.O- Daudpur, P.S - Shahpur, District- Patna(Bihar)",M/S- PUJA BRICKS,Delisted,EC,
57,SIA/BR/MIN/129290/2019,,Sand Mining Project at Simiaahi  Sand Ghat (4.75 Ha.) on Budhnad  riverbed in Sitamarhi district of Bihar,NAVEENKUMAR SITAMARHI,Delisted,EC,
58,SIA/BR/MIN/137271/2020,,"Brick Earth Mining Project at Mauza- Salarpur, P.S- Shankarpur, Anchal- Ismailpur, District- Bhagalpur (Bihar)",M/S- SHREESAI BRICKS INDUSTRIES,Delisted,EC,
63,SIA/BR/IND2/40509/2018,SIA/5(g)/691/19,"Proposed 100 KLPD molasses based distillery along with 4.0 MW co-generation power plant at Village Bucheya, Tehsil Sidhwalia, District Gopalganj, Bihar by Magadh Sugar & Energy Limited Unit: Bharat Su",MAGADH SUGAR & ENERGY LIMITED UNIT : BHARAT SUGAR MILLS (DISTILLERY DIVISION),EC Granted,EC,
64,SIA/BR/MIN/129177/2019,,"Proposed Brick Earth Mining Project of Area 2.41 Acres or 0.97 Hectare for M/s Maa Bricks Manufacturing at Village- Saraia Akopur, P.O- Sorampur, P.S- Phulwari Sharif, District- Patna, State- Bihar",M/S MAA BRICKS MANUFACTURING,Delisted,EC,
70,SIA/BR/MIN/36338/2019,,"Proposed Brick Earth Mining Project of Area 3.94 Acres or 1.59 Hectare M/s Hero Int Udyog at Vill + P.O- Tungi, P.S + Block- Hisua, Dist:- Nawada, State- Bihar.",MS HERO BRICKS,Pending at PP due to eds,EC,
71,SIA/BR/MIN/66121/2017,SIA/1(A)/584/18,Sand Mining Project at Panbharwa Sand Ghat on Kiul River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
72,SIA/BR/MIN/30152/2015,3434,Brick Clay Mining for Steel Int Udyog,BIMTE CONSULTANCY SERVICES PVT LTD,Delisted,EC,
75,SIA/BR/MIN/31133/2015,3497,Brick Clay Mining Project- Raj Int Udyog-B2,RAJ INT UDHYOG,Delisted,EC,
