,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2572,SIA/UP/MIN/45048/2019,"Sheshpur Nari (Gata No. 171, 138, 139, 166mi, 35, 28, 29, 172 ) soil brick mining project.",Non-Coal Mining,19 Oct 2019,19/10/2019,22/10/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/45048/2019&type=EC&ID=69946
2573,SIA/UP/MIN/38718/2019,"M/s A.V. Mining and Company, Village - Jaitpur, P.O. - Udyapur, District Ambedkar Nagar,U.P.",Non-Coal Mining,17 Jan 2020,17/01/2020,,,23/01/2020,,,03/02/2020,04/06/2020,13/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/38718/2019&type=EC&ID=85824
2574,SIA/UP/MIN/43261/2019,"Environmental clearance of proposed Sand Stone (Patiya, Gitti, Boulder) mine at Gata No. /Araji No. 997 Mi, Lease Area: 0.809 ha (2.00 acres) at Village - Sindhora, Tehsil- Sadar, District- Mirzapur, Uttar Pradesh of  M/s  Bol Bam Ent Bhatta",Non-Coal Mining,11 Mar 2021,11/03/2021,,,22/03/2021,,,07/04/2021,14/09/2021,19/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/43261/2019&type=EC&ID=173519
2575,SIA/UP/MIN/208812/2021,RIVER SAND/ MORRUM MINE FROM THE RIVER BED OF KEN RIVER BY SHRI NARENDRA KUMAR SINGH,Non-Coal Mining,15 Jun 2021,11/04/2021,26/04/2021,15/06/2021,23/06/2021,,,28/06/2021,28/10/2021,22/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/208812/2021&type=EC&ID=178081
2576,SIA/UP/IND2/54305/2018,proposed to establish a 100 KLD (RS/ENA/ Ethanol) molasses based distillery along with 4.0 MW of  Co- generation power plant,Industrial Projects - 2,12 Aug 2020,12/08/2020,,,18/08/2020,,,26/08/2020,25/09/2020,14/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/IND2/54305/2018&type=EC&ID=115477
2577,SIA/UP/IND2/206483/2021,"Environmental Clearance application for proposed expansion of existing products including addition of new API/Bulk Drugs / Pharmaceutical Products, at Plot No. 35, 35/1 and 36, S. S. of G. T. Road, Industrial Area, Ghaziabad – 201009 Uttar Pradesh by",Industrial Projects - 2,27 Mar 2021,27/03/2021,,,30/03/2021,,,07/04/2021,15/06/2021,12/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/IND2/206483/2021&type=EC&ID=175428
2578,SIA/UP/MIN/240499/2021,Ordinary Soil Excavation Mine,Non-Coal Mining,08 Dec 2021,24/11/2021,08/12/2021,08/12/2021,13/12/2021,,,21/12/2021,04/01/2022,27/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/240499/2021&type=EC&ID=193732
2579,SIA/UP/MIN/40449/2019,"Area 1.396 Ha Khanda Gitti mining project at  Araji No’.93/1 Khand no 09 Village-Lakhanpura, Tehsil-Lalitpur, District-Lalitpur, U.P",Non-Coal Mining,22 Apr 2021,22/04/2021,,,26/04/2021,,,21/05/2021,12/08/2021,29/09/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/40449/2019&type=EC&ID=182308
2580,SIA/UP/MIN/41495/2017,"Building Stone (Khandas, Boulders, Balast, Gitti & Morrum) Mine",Non-Coal Mining,18 Sep 2019,18/09/2019,15/09/2019,18/09/2019,20/09/2019,,,30/10/2019,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/41495/2017&type=EC&ID=62654
2581,SIA/UP/MIN/40548/2019,M/s VIVEK BRICK FIELD,Non-Coal Mining,02 Aug 2019,02/08/2019,27/08/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/40548/2019&type=EC&ID=59104
2582,SIA/UP/MIN/29459/2018,"Sand/Morrum Mining Project at bank of  Betwa River at Khand 26/6, Village-Chandwari Ghurauli, Tehsil- Sarila, District –Hamrirpur, UP.",Non-Coal Mining,31 Mar 2020,31/03/2020,,,11/05/2020,,,21/05/2020,08/06/2020,27/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/29459/2018&type=EC&ID=101042
2583,SIA/UP/MIN/156877/2020,"Proposed riverbed Ordinary Sand mining project from Gaghra River for Shri Raj Karan Yadav located at Gata No. 1 L, Village - Meerapur Dwaba, Tehsil - Sadar, District - Ayodhya, Uttar Pradesh. Sanction",Non-Coal Mining,10 Jun 2020,10/06/2020,,,16/06/2020,,,17/06/2020,28/07/2020,23/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/156877/2020&type=EC&ID=111770
