,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
73,SIA/BR/MIN/126441/2019,"Achhechak & Kalyanpur (Khata No – 02, 23, 12 & 01. Khasra/Plot(s) No. 464, 465, 465/685, 603, 41, 1, 7, 40, 34 & 76) soil brick mining project.",Non-Coal Mining,21 Nov 2019,21/11/2019,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/126441/2019&type=EC&ID=74212
74,SIA/BR/MIN/148897/2020,"Proposed Brick Earth Mining Project of Area 1.21 Hectare Or 3.00 Acre M/S N.H.L  Bricks  at  Vill-  Purainiya,  Block-  Mainatand,  P.O-  Pirari,  P.S-  Mainatand,  District-West  Champaran, State - B",Non-Coal Mining,14 Mar 2020,14/03/2020,29/07/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/148897/2020&type=EC&ID=98605
75,SIA/BR/IND/55772/2020,Patwari Steels Private Limited,Industrial Projects - 1,13 Jan 2022,13/01/2022,,,19/01/2022,,,19/01/2022,07/02/2022,03/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/55772/2020&type=EC&ID=195659
76,SIA/BR/MIN/51945/2020,Jamui Kiul 3 balu ghat sand mining project,Non-Coal Mining,19 Dec 2020,19/12/2020,11/01/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/51945/2020&type=EC&ID=149177
77,SIA/BR/MIN/154986/2020,Brick Clay Mining,Non-Coal Mining,29 May 2020,29/05/2020,24/07/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/154986/2020&type=EC&ID=108261
78,SIA/BR/MIN/33571/2019,Mohanpur Sand Ghat on Badua River,Non-Coal Mining,24 Mar 2019,24/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33571/2019&type=EC&ID=54211
79,SIA/BR/MIN/33763/2019,Sangrampur Balu Ghat,Non-Coal Mining,27 Mar 2019,27/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33763/2019&type=EC&ID=54321
80,SIA/BR/MIS/181412/2020,"Proposed Residential Building “H2O City” Mauza-Neora, Tehsil-Bihta, District- Patna, Bihar by M/s Anshul Homes Pvt. Ltd.",INFRA-2,08 Dec 2020,31/10/2020,24/11/2020,08/12/2020,16/12/2020,,,17/12/2020,08/01/2021,03/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/181412/2020&type=EC&ID=142363
81,SIA/BR/MIN/157455/2020,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD. MAUZA HATHWAN ALAULI KHAGARIA AREA 11.04,Non-Coal Mining,13 Jun 2020,13/06/2020,24/07/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/157455/2020&type=EC&ID=112910
82,SIA/BR/MIN/35775/2019,"Brick Earth Soil Project at Mauza- Mauzipur (Daulatpur), P.O- Gadho Chak, P.S- Fatuha, District- Patna (Bihar).",Non-Coal Mining,06 May 2019,06/05/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/35775/2019&type=EC&ID=55408
83,SIA/BR/IND/26138/2018,Kamper Concast Ltd,Industrial Projects - 1,24 Apr 2019,24/04/2019,,,25/04/2019,,,25/04/2019,07/05/2019,16/05/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/26138/2018&type=EC&ID=55124
84,SIA/BR/MIN/133565/2019,"Proposed Brick Earth Mining Project of Area 3.12 Acres or 1.26 Hectare for M/S VIP Bricks Company at Village- Madhopur, Tehsil- Bakhtiyarpur, P.S + Anchal- Bakhtiyarpur, District- Patna, State- Bihar.",Non-Coal Mining,26 Dec 2019,26/12/2019,25/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/133565/2019&type=EC&ID=83875
85,SIA/BR/IND/29688/2017,Indira Paper Mill Pvt. Ltd.,Industrial Projects - 1,21 Feb 2021,13/02/2021,18/02/2021,21/02/2021,15/03/2021,,,15/03/2021,28/03/2021,02/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/29688/2017&type=EC&ID=163275
86,SIA/BR/MIN/130279/2019,Brick  Earth  Mining  Project  for  M/s  Raj  Int  Udyog,Non-Coal Mining,07 Dec 2019,07/12/2019,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/130279/2019&type=EC&ID=79087
87,SIA/BR/MIN/142170/2020,BRICK EARTH MINING PROJECT FOR M/S SHEOGANGA INT UDYOG MAUZA MAHAMMADPUR,Non-Coal Mining,12 Feb 2020,12/02/2020,18/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/142170/2020&type=EC&ID=88106
88,SIA/BR/MIN/138779/2020,"Brick Earth Mining Project of Area 2.80 Acres or 1.13 Hectare M/s Neyaz Bricks at Mauza- Pipra Pakri, P.O - Pipra, P.S-Bettiah Muffashil, Block- Bettiah, District-West Champaran, State - Bihar",Non-Coal Mining,25 Jan 2020,25/01/2020,07/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138779/2020&type=EC&ID=86192
89,SIA/BR/MIN/33236/2019,Proposed Sand Mining Project of area 1.40 ha at Munja-Matiari Ghat on Gandak River of District-Gopalganj of State-Bihar. Consultant-,Non-Coal Mining,18 Mar 2019,18/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33236/2019&type=EC&ID=54048
90,SIA/BR/MIN/33416/2019,Gogachak sand mining project at Badua river,Non-Coal Mining,21 Mar 2019,21/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33416/2019&type=EC&ID=54139
